-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 12/01/2020 through 01/31/2021 
Location: Latitude  26.4207   Longitude 50.0888 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.68 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_NKT              CERES SYN1deg All Sky Normalized Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,ALLSKY_SFC_UV_INDEX
2020,12,15,3.66,3.8,0.6,0.85,354.88,7.91,0.15,19.05,10.69,14.87,19.34,7.55,23.23,15.69,8.12,60.44,0.75
2020,12,16,3.67,3.74,0.61,0.85,354.74,7.77,0.15,19.57,12.26,15.92,19.94,9.62,24.68,15.05,8.97,66.88,0.73
2020,12,17,3.48,3.51,0.58,0.81,363.59,7.24,0.13,20.81,13.58,17.19,20.95,10.12,26.22,16.09,9.77,67.06,0.68
2020,12,18,3.38,3.67,0.56,0.79,360.49,7.48,0.14,19.72,12.71,16.21,20.83,8.2,24.15,15.95,9.16,65.62,0.7
2020,12,19,2.29,3.46,0.38,0.53,377.98,5.61,0.1,19.36,13.3,16.33,19.88,4.91,22.32,17.4,9.4,68.88,0.5
2020,12,20,3.48,3.8,0.58,0.81,350.95,7.78,0.13,18.94,12.1,15.52,19.72,6.3,22.45,16.15,8.67,65.38,0.64
2020,12,21,3.69,3.9,0.61,0.86,344.05,8.29,0.14,18.13,9.61,13.87,18.87,6.0,21.87,15.87,7.39,58.94,0.7
2020,12,22,3.64,3.79,0.6,0.85,347.73,8.12,0.14,17.84,10.2,14.02,18.77,6.46,21.72,15.26,7.69,62.31,0.69
2020,12,23,3.61,3.77,0.59,0.84,342.64,7.75,0.15,19.23,10.07,14.65,19.4,7.86,23.36,15.5,7.69,57.38,-999.0
2020,12,24,3.3,3.73,0.55,0.77,359.58,7.46,0.16,18.96,10.79,14.87,19.95,8.98,23.26,14.28,8.12,60.88,0.8
2020,12,25,3.02,3.46,0.5,0.7,346.45,6.74,0.14,18.28,9.27,13.77,19.12,5.89,20.86,14.97,7.26,56.31,0.7
2020,12,26,3.48,3.71,0.58,0.81,330.91,7.66,0.16,16.04,6.96,11.5,17.23,6.75,19.8,13.04,6.23,56.56,0.79
2020,12,27,3.19,3.66,0.52,0.74,355.46,7.29,0.16,17.78,10.53,14.15,18.66,10.04,22.72,12.68,7.93,64.31,0.77
2020,12,28,3.14,3.84,0.52,0.73,367.75,7.39,0.14,18.65,13.02,15.84,19.71,5.94,21.92,15.98,9.28,70.88,0.72
2020,12,29,3.65,3.83,0.6,0.84,347.89,8.09,0.15,18.04,9.48,13.76,18.99,7.66,22.29,14.62,7.32,59.25,0.72
2020,12,30,3.59,3.72,0.59,0.83,348.18,7.93,0.14,18.97,11.79,15.38,19.57,6.28,22.83,16.55,8.54,64.0,0.72
2020,12,31,3.59,3.67,0.59,0.83,350.62,7.88,0.13,19.41,12.96,16.19,20.05,6.68,23.38,16.7,9.22,67.56,0.65
2021,1,1,3.03,3.66,0.49,0.7,362.45,6.98,0.12,20.1,13.69,16.9,20.44,6.74,23.93,17.19,9.7,68.19,0.61
2021,1,2,3.37,3.78,0.55,0.77,354.54,7.64,0.13,19.33,13.43,16.38,19.74,6.8,23.26,16.47,9.52,70.62,0.68
2021,1,3,3.76,3.85,0.61,0.86,335.94,8.05,0.15,18.74,12.45,15.59,19.18,8.24,23.42,15.18,8.91,68.94,0.73
2021,1,4,3.22,3.91,0.52,0.73,348.99,7.53,0.14,18.48,11.83,15.15,19.04,7.73,23.15,15.42,8.54,66.88,0.7
2021,1,5,3.55,3.8,0.57,0.8,347.05,7.86,0.13,19.26,12.05,15.65,19.94,7.58,23.26,15.69,8.67,64.5,0.65
2021,1,6,3.71,3.86,0.6,0.84,342.59,8.13,0.14,19.06,10.76,14.91,19.34,7.36,23.43,16.07,8.0,60.25,0.68
2021,1,7,3.91,3.98,0.62,0.88,330.01,8.39,0.16,18.65,10.8,14.73,18.98,7.32,22.69,15.37,8.0,61.5,0.77
2021,1,8,3.46,4.02,0.55,0.77,345.97,8.01,0.16,19.26,10.03,14.65,19.16,5.54,22.47,16.93,7.63,56.75,0.79
2021,1,9,3.8,4.11,0.61,0.84,342.42,8.62,0.16,18.56,12.07,15.31,19.33,6.86,22.05,15.19,8.67,67.69,0.81
2021,1,10,3.85,3.96,0.61,0.85,330.88,8.3,0.16,18.5,12.0,15.25,19.03,6.62,22.48,15.87,8.67,68.0,0.76
2021,1,11,4.01,4.22,0.63,0.88,329.61,8.88,0.18,17.39,8.91,13.15,17.9,6.8,21.33,14.52,7.02,58.75,0.88
2021,1,12,4.12,4.22,0.65,0.9,314.09,8.62,0.17,16.15,7.18,11.66,17.11,9.2,21.38,12.17,6.35,58.12,0.86
2021,1,13,4.07,4.23,0.64,0.88,309.13,8.52,0.17,15.33,4.71,10.01,16.36,10.56,21.17,10.61,5.43,52.75,-999.0
2021,1,14,4.23,4.47,0.66,0.91,310.0,8.89,0.2,16.02,0.47,8.24,16.05,10.79,21.24,10.45,4.09,39.88,0.97
2021,1,15,4.22,4.57,0.66,0.91,332.47,9.23,0.21,18.08,3.35,10.71,18.05,12.58,24.76,12.18,5.0,41.56,1.06
2021,1,16,3.83,3.94,0.59,0.82,346.89,8.41,0.18,18.85,9.76,14.3,19.09,7.88,23.7,15.82,7.63,57.44,0.91
2021,1,17,3.79,3.97,0.59,0.8,349.66,8.25,0.19,20.15,10.34,15.25,19.58,11.47,26.85,15.38,7.87,56.38,0.95
2021,1,18,3.95,3.99,0.6,0.83,336.93,8.44,0.18,18.81,11.05,14.94,19.07,8.36,23.62,15.26,8.24,63.38,0.91
2021,1,19,4.12,4.19,0.62,0.86,333.38,9.05,0.21,18.59,10.5,14.55,18.65,7.3,22.95,15.65,7.87,61.31,1.07
2021,1,20,4.16,4.29,0.63,0.86,332.62,9.01,0.22,19.23,9.15,14.19,19.29,8.83,24.02,15.2,7.2,54.0,1.12
2021,1,21,3.11,3.09,0.47,0.64,341.88,6.15,0.14,16.47,6.96,11.71,17.5,5.66,19.11,13.44,6.23,54.25,0.73
2021,1,22,3.68,3.72,0.55,0.75,334.88,7.74,0.16,13.99,3.15,8.57,15.65,5.75,17.17,11.41,4.88,50.44,0.82
2021,1,23,3.93,4.1,0.59,0.8,329.03,8.65,0.19,14.8,5.87,10.33,16.36,8.61,19.58,10.98,5.8,56.94,0.95
2021,1,24,4.09,4.19,0.61,0.82,324.51,8.8,0.18,15.52,6.02,10.77,16.49,8.91,20.54,11.63,5.86,55.81,-999.0
2021,1,25,4.29,4.46,0.63,0.86,328.45,9.33,0.2,16.25,7.78,12.01,16.82,9.39,21.34,11.95,6.65,60.75,0.98
2021,1,26,4.09,4.19,0.6,0.81,334.94,8.84,0.18,17.17,8.5,12.83,17.33,9.48,22.53,13.05,7.02,60.88,0.91
2021,1,27,4.41,4.61,0.64,0.87,331.23,9.69,0.21,17.66,8.93,13.3,17.73,11.21,24.0,12.78,7.2,61.19,1.05
2021,1,28,4.33,4.51,0.62,0.84,338.89,9.58,0.23,18.59,9.73,14.16,18.23,10.91,24.55,13.65,7.63,61.31,1.17
2021,1,29,3.95,4.67,0.57,0.77,358.93,9.18,0.24,19.58,10.19,14.88,19.39,11.2,25.42,14.23,8.0,60.88,1.3
2021,1,30,3.77,4.02,0.54,0.73,355.8,8.3,0.2,18.75,8.48,13.62,18.7,6.35,22.55,16.2,6.96,52.69,1.08
2021,1,31,4.61,4.76,0.66,0.88,317.05,10.02,0.2,16.78,7.54,12.15,17.51,7.23,20.87,13.63,6.47,56.75,-999.0
